num_goods: 20, num_bidder: 20, num_iterations: 100, repetitions: 10, 
rounded util | frac util
0 | 17.6486
0 | 24.898
19 | 25.3543
0 | 2.79176
8 | 27.0893
11 | 21.0552
20 | 21.6714
4 | 27.0112
18 | 33.4612
0 | 36.5672
17 | 26.8129
0 | 31.5652
9 | 26.3783
0 | 9.03793

0 | 17.6486
35 | 13.5117
0 | 24.898
19 | 25.3543
23 | 11.0472
0 | 2.79176
8 | 27.0893
11 | 21.0552
20 | 21.6714
4 | 27.0112
39 | 25.2211
18 | 33.4612
0 | 36.5672
17 | 26.8129
0 | 31.5652
40 | 17.8455
21 | 16.9933
12 | 8.81514
9 | 26.3783
0 | 9.03793

0 | 13.4248
24 | 26.4487
0 | 27.3146
0 | 23.8656
0 | 10.5287
23 | 23.7869
7 | 30.9788
0 | 28.8044
0 | 26.0402
0 | 14.7873
0 | 10.3192
8 | 28.4512
0 | 31.6472
20 | 37.3007

0 | 13.4248
24 | 26.4487
0 | 27.3146
31 | 26.1765
0 | 23.8656
0 | 10.5287
21 | 16.538
23 | 23.7869
24 | 15.1599
7 | 30.9788
0 | 28.8044
0 | 26.0402
0 | 14.7873
0 | 10.3192
8 | 28.4512
0 | 31.6472
20 | 37.3007
21 | 19.9071
55 | 18.9883
42 | 20.3325

37 | 38.9581
0 | 30.1258
4 | 21.9139
14 | 30.8862
0 | 19.4279
0 | 19.0655
0 | 9.98027
0 | 8.32435
0 | 39.0184
11 | 18.2616
16 | 36.5049
17 | 19.9759
13 | 25.9484
0 | 21.7336
0 | 25.0737
7 | 15.9978

37 | 38.9581
0 | 30.1258
49 | 25.4766
4 | 21.9139
14 | 30.8862
27 | 11.059
0 | 19.4279
0 | 19.0655
0 | 9.98027
0 | 8.32435
31 | 14.7058
0 | 39.0184
11 | 18.2616
16 | 36.5049
52 | 27.3373
17 | 19.9759
13 | 25.9484
0 | 21.7336
0 | 25.0737
7 | 15.9978

12 | 31.4496
0 | 19.6103
12 | 14.7335
4 | 25.2386
19 | 22.9981
22 | 24.9359
0 | 6.93268
14 | 29.7332
0 | 26.0016
15 | 23.0204
14 | 24.9635
0 | 26.1982
0 | 26.4734
3 | 24.0914
0 | 25.6596

12 | 31.4496
0 | 19.6103
32 | 6.23965
12 | 14.7335
4 | 25.2386
19 | 22.9981
22 | 24.9359
0 | 6.93268
14 | 29.7332
16 | 15.6811
0 | 26.0016
15 | 23.0204
14 | 24.9635
0 | 26.1982
30 | 22.0376
28 | 24.1679
0 | 26.4734
56 | 23.2505
3 | 24.0914
0 | 25.6596

20 | 27.987
17 | 18.2002
12 | 28.192
12 | 22.1708
22 | 23.8132
13 | 14.2663
13 | 32.6419
0 | 27.9785
12 | 31.5207
7 | 23.3396
12 | 16.7659
0 | 22.5199
0 | 22.1587
11 | 31.7111

21 | 10.2501
20 | 27.987
17 | 18.2002
21 | 11.5952
12 | 28.192
12 | 22.1708
22 | 23.8132
20 | 15.7421
13 | 14.2663
13 | 32.6419
0 | 27.9785
12 | 31.5207
7 | 23.3396
26 | 16.0325
12 | 16.7659
0 | 22.5199
0 | 22.1587
11 | 31.7111
20 | 18.591
38 | 15.9741

0 | 29.8491
0 | 8.35096
0 | 28.3425
26 | 29.6997
6 | 10.3982
0 | 26.1593
0 | 18.6366
0 | 21.5094
23 | 35.1121
16 | 39.545
0 | 29.597
0 | 31.4471
5 | 22.272
0 | 6.54263

30 | 14.9966
24 | 12.4784
0 | 29.8491
14 | 12.5579
0 | 8.35096
0 | 28.3425
36 | 17.523
15 | 8.24719
26 | 29.6997
6 | 10.3982
0 | 26.1593
0 | 18.6366
0 | 21.5094
23 | 35.1121
16 | 39.545
0 | 29.597
0 | 31.4471
5 | 22.272
